26,-11196,7632,7256,1333,3030,1945,1439947681.725754
27,-12604,7932,7464,1302,2676,2871,1439947681.8604519
28,-12452,8616,7656,454,1018,1074,1439947681.9955881
29,-11024,10012,5508,209,-2288,-104,1439947682.1305809
30,-10912,11480,5008,1905,-4645,-324,1439947682.265522
31,-12368,13488,8056,5088,-1061,-3778,1439947682.4002919
32,-19688,8348,2276,1509,9407,-11724,1439947682.535893
33,-16800,-1860,332,-1832,14478,-18869,1439947682.670567
34,-11532,-6420,-2000,4324,2800,-13337,1439947682.805501
35,-9044,-4912,-312,524,3495,5592,1439947682.9407821
36,-17744,5244,-956,7341,-9610,20500,1439947683.075721
37,-30372,7196,4664,-7954,-2468,6450,1439947683.2107201
38,-16816,5268,1312,-5007,7531,3445,1439947683.3455579
39,-14092,9860,2352,-2917,-2758,3265,1439947683.480603
40,-14224,11116,4148,2057,-8179,1783,1439947683.6156721
41,-7980,10732,7396,5134,-12941,-1192,1439947683.750596
42,-11352,8900,4136,2304,-1628,-5320,1439947683.885483
43,-4564,6584,10400,4951,-15207,739,1439947684.0206771
44,-13008,7476,7700,-1449,-2663,4447,1439947684.155597
45,-6412,12308,10388,-3292,13015,-2133,1439947684.4256721
46,-9972,13336,9128,-4130,17640,-14583,1439947684.560708
47,-11556,7908,5112,-8740,14242,-21047,1439947684.6955199
48,-11724,-4560,332,-19157,17734,3368,1439947684.8310571
49,-18204,-6524,-3756,-13776,22969,8008,1439947684.9656079
50,-7520,9856,-8164,386,5022,-556,1439947685.1005721
51,-15636,3936,-5684,344,-3213,2607,1439947685.3030541
52,-15864,5004,-7064,-1315,-5049,1113,1439947685.4381759
53,-14468,-176,860,-7765,7379,-425,1439947685.5730381
54,-14548,5304,-4624,-3584,-2172,-329,1439947685.708118
55,-14004,7308,-6352,378,-3482,150,1439947685.84321
56,-15512,4132,-5584,1023,-793,-2427,1439947685.978204
57,-16128,2724,-2448,486,-7226,-3101,1439947686.1131401
58,-12172,6812,-2192,-2728,-686,1272,1439947686.248292
59,-15352,5552,-812,1050,2260,672,1439947686.3834829
60,-13828,7092,-1172,1474,-3706,1208,1439947686.5855961
61,-15044,7812,-1148,2510,-3977,1596,1439947686.7208431
62,-9644,10160,-892,2,-7191,13128,1439947686.855639
63,-9820,14868,3016,12010,-27219,23417,1439947686.9906371
64,-7500,17456,3680,10770,-1476,10595,1439947687.1256919
65,-12500,10924,4120,-8791,19407,1514,1439947687.260766
66,-5964,15888,1040,-6865,3678,-4627,1439947687.3956029
67,-10888,16664,712,-742,15175,-22086,1439947687.598165
68,-17896,9228,-652,10095,1651,-28781,1439947687.733129
69,-17120,3368,404,11967,5867,-29475,1439947687.935591
70,-9584,-3488,3692,11758,-10501,-18804,1439947688.0705891
71,-10100,-9388,1960,479,2659,-5473,1439947688.2057021
72,-10908,-11576,1964,441,-1067,-2135,1439947688.3409851
0,-10540,11652,2572,-490,7377,1948,1439947763.6176641
1,-11980,9800,1256,-3796,4516,3472,1439947763.738533
2,-13196,10956,1164,-4978,5325,-2231,1439947763.873764
3,-8764,11580,-776,-4713,3511,-7549,1439947764.0087309
4,-10928,7912,760,3554,-8976,15987,1439947764.211174
5,-9476,9608,1632,13250,-22338,11623,1439947764.3460591
6,-9060,13616,4148,3351,-8145,-1321,1439947764.4811621
7,-8004,14876,4496,-684,-7300,-5400,1439947764.6162291
8,-10596,18836,3332,-294,-4561,-2050,1439947764.7511809
9,-10712,23484,4624,4819,634,-3498,1439947764.8860891
10,-11832,21492,1788,6962,53,-8033,1439947765.0210929
11,-16108,11980,2784,-556,-3543,-9831,1439947765.1560531
12,-10116,4160,3980,-6429,-553,-11133,1439947765.2911921
13,-9180,-172,1072,-8233,9554,-12988,1439947765.426111
14,-7636,-4700,1836,-6381,2752,-11164,1439947765.5610931
15,-11624,-2668,-1776,-10294,24700,2461,1439947765.696255
16,-12232,4156,-4916,-6618,1000,15088,1439947765.8311601
17,-19896,6908,-3836,-6222,2495,10330,1439947765.9660611
18,-15612,11684,352,4491,-24880,7267,1439947766.101233
19,-11332,14112,6368,5469,-13273,-6254,1439947766.2360959
20,-14488,7576,-412,-5111,387,-18687,1439947766.3712251
21,-13492,-4676,-1292,-11199,11214,1796,1439947766.5061879
22,-16560,-5892,-3080,3026,10478,10020,1439947766.641196
23,-17008,3712,-2020,4326,-3053,1474,1439947766.776248
24,-16288,4116,-908,-3766,187,-623,1439947766.9111371
25,-17432,-736,-2004,-6654,2946,-229,1439947767.0461421
26,-24108,3824,-6240,4187,-14837,-4640,1439947767.181237
27,-17948,1304,2772,-1520,-5225,2262,1439947767.383714
28,-16732,2488,940,-7301,3146,1937,1439947767.5187809
29,-14524,5320,912,-2161,6529,-159,1439947767.6535909
30,-14944,5368,-1304,-5755,16100,2438,1439947767.7887149
31,-15632,4252,-6240,-1915,2221,488,1439947767.923723
32,-15248,4284,-4024,78,-1393,709,1439947768.0587101
33,-16936,5996,-3692,1850,-4671,743,1439947768.193603
34,-15808,10256,-6396,17918,-4589,-8540,1439947768.32886
35,-15420,812,-3424,4578,1544,-10643,1439947768.4638181
36,-17820,-7240,-732,374,9308,6517,1439947768.5989449
37,-16828,-7116,-2536,7196,-399,848,1439947768.7338569
38,-16344,-6372,-5816,9347,1181,-6566,1439947768.8686321
39,-13288,-4604,-5948,7664,-2997,-10924,1439947769.0035901
40,-10468,-7784,-876,154,3636,-5915,1439947769.2061291
41,-10404,-11664,-2548,4997,-167,-1327,1439947769.341794
42,-10360,-11220,-3384,1201,-1149,-3049,1439947769.4762051
