40,9836,13468,5176,-13455,-19822,4631,1439902581.104985
41,8028,12580,2312,-7245,-10688,646,1439902581.2399981
42,5380,15524,1740,-900,2131,-16705,1439902581.3750551
43,5212,15416,4144,-665,-5797,-14214,1439902581.5101171
44,8376,14796,4580,-3383,-18528,-13774,1439902581.6451249
45,9788,13936,5552,652,-6589,-6836,1439902581.780236
46,7264,19084,7444,2348,4298,7129,1439902581.915067
47,7272,16292,4420,81,7644,18163,1439902582.0502751
48,3672,14108,2080,-5379,-5017,11505,1439902582.1850951
49,4748,13752,980,-794,2600,4707,1439902582.32026
50,5860,18696,2264,1309,-1620,-8909,1439902582.4550371
0,3664,15044,1728,-1582,-8547,496,1439902610.0572131
1,5340,14020,628,4859,5333,-3994,1439902610.1989591
2,5384,12640,1628,4479,2156,-3830,1439902610.3342199
3,3364,12872,1016,3290,3275,-1638,1439902610.469336
4,3460,12048,840,653,5902,1170,1439902610.604152
5,876,8460,-964,-1915,2517,93,1439902610.7391651
6,1892,15844,1160,-2051,9364,375,1439902610.874239
7,3604,27668,-140,382,8120,4248,1439902611.0091879
8,2292,22352,6972,787,4990,-942,1439902611.144182
9,3304,26424,5392,2289,8368,2493,1439902611.2791569
10,1408,22128,5832,-2329,-6776,4344,1439902611.414217
11,4536,14008,1152,-3760,-4689,779,1439902611.5492301
12,5084,12896,-2124,-3892,-7530,-2981,1439902611.6842
13,7144,11468,2340,-8200,-8898,-490,1439902611.8192539
14,9268,10320,6404,-9948,-6898,5175,1439902611.9542511
15,12060,8428,8092,-440,1008,10378,1439902612.08934
16,12052,7448,7980,1221,5684,14530,1439902612.2243021
17,11612,6296,6780,4067,5444,13910,1439902612.359462
18,11252,7632,5780,12982,12332,6571,1439902612.4942141
19,3832,15232,10468,7287,3631,3122,1439902612.629483
20,7040,11456,9896,4266,11800,8490,1439902612.764364
21,4032,-1188,5680,9166,4853,-3978,1439902612.8992219
22,6328,10716,7992,5114,9316,-12313,1439902613.034374
23,5492,19276,16176,-2129,-997,-7529,1439902613.169492
24,5468,16644,8936,-8429,-13354,10217,1439902613.3042991
25,7564,11088,4716,-4007,-10290,3616,1439902613.43962
26,10136,8108,6344,-4687,-10387,-11663,1439902613.574228
27,10084,12436,4900,-6245,-16327,-21779,1439902613.709193
28,8328,17516,3316,-5909,-15801,-22519,1439902613.844367
29,5964,15712,1840,-1475,-18604,-8430,1439902613.9794681
30,6448,16736,3380,-654,-25511,-797,1439902614.114459
31,6920,14424,7652,-3122,-16665,-1422,1439902614.249464
32,5976,15752,4388,-9843,-17046,-2582,1439902614.384378
33,10392,14276,4468,-11970,-24808,3639,1439902614.5194659
34,8072,12672,2320,-7138,-13690,7710,1439902614.6543059
35,6692,11944,2148,-2785,-3718,-6991,1439902614.78947
36,6692,14736,6704,-4354,-385,-25499,1439902614.9243989
37,4892,16952,2804,-5942,-14711,-7091,1439902615.0595081
0,3904,15908,2644,1749,3069,-3141,1439902649.7064731
1,3896,14976,2228,1223,-4106,-1431,1439902649.8237431
2,3352,13232,1828,1298,-794,-3967,1439902649.9588909
3,4848,8980,1448,1223,-2913,-4298,1439902650.093801
4,1752,14876,2396,-360,6769,-5365,1439902650.229003
5,3100,12824,1728,1374,2657,9531,1439902650.3638661
6,4716,22120,1220,-232,-3795,5710,1439902650.4990399
7,8484,19304,-692,2029,2004,1441,1439902650.6335919
8,14500,17720,-152,4891,-5582,8094,1439902650.768924
9,5940,24016,4904,-63,4230,-104,1439902650.903969
10,7764,24348,3608,311,-947,-3006,1439902651.0389321
11,11648,17660,1828,-6052,-2937,1335,1439902651.1739421
12,6824,10828,-2892,-2728,10140,7618,1439902651.3089719
13,7796,9248,-12,-8422,-1639,7870,1439902651.443882
14,10700,8036,1428,-11475,307,13921,1439902651.578989
15,10892,2596,6400,-6265,455,9692,1439902651.7140019
16,11684,1388,5868,-5357,-47,9021,1439902651.84899
17,12232,-824,7752,1502,2207,4821,1439902651.9840159
18,13800,248,7772,7456,3288,2228,1439902652.119009
19,15488,564,7412,11226,7061,3183,1439902652.254245
20,10432,2244,8728,12777,1615,-2577,1439902652.389087
21,10368,9268,9044,10864,9339,-2974,1439902652.5239911
22,4696,16196,9724,3646,-683,-8745,1439902652.6590741
23,4256,16292,11324,1058,-6439,-3641,1439902652.8615551
24,5012,14988,8932,-3842,-9574,5263,1439902652.9965949
25,7124,12620,5628,-3769,-9242,2458,1439902653.131587
26,9864,8724,5600,-3528,-13539,-9747,1439902653.2665181
